title,paragraphs
Please dance!,Okay! (Dances)
Dance for me!,Okay! (Dances)
Can you dance for me?,Okay! (Dances)
Please play something!,Okay! (Plays ukulele)
Play something for me!,Okay! (Plays ukulele)
Can you play an instrument for me?,Okay! (Plays ukulele)
Please sing!,Okay! (Sings)
Sing for me!,Okay! (Sings)
Can you sing for me?,Okay! (Sings)
OK,Tell me what else you'd like to know.
uh huh,Would you like to know some more?
Do you accept applicants who already hold a bachelor of arts or science degrees?,At NYUAD there are only programs to get the first bachelor.
When will I hear if I get admitted?,Check on the university's web page!
How did you prepare to apply there?,I googled a lot of examples of university applications. I made a list of all my achievements and everything I want to mention. And I just asked a lot of people to proofread and give me advice.
"And you got in, when?",I was accepted to NYUAD in December.
When should I apply for NYU Abu Dhabi?,"I'd recommend you apply in October, a year before the university's academic year."
Was it hard to apply?,It was a very long application and then you had to come here for a candidate weekend and interview and then you would find out if you got in.
Am I able to change campus location after I enroll?,"It's difficult, but you could. Also, keep in mind that scholarships are different for each campus."
Does NYUAD care about diversity?,"NYUAD cares about all types of diversity of its students, including of their backgrounds and diversity of thought."
Is the TOEFL required for consideration for admission to NYU Abu Dhabi?,NYUAD does not currently require an English language proficiency test. Your English skills will be obvious in the application and later on in the interview.
"Did you apply to other universities, too?",NYUAD was my first choice and I didn't even apply to other universities! But that's because I applied very early so I had plenty of time to figure out other universities in case I wasn't admitted.
If I'm not admitted can I reapply?,Of course you can! But I think only in the following year.
Can I apply to more than one NYU campus at a time?,"Sure, you can apply to all three!"
How does NYU Abu Dhabi decide which student to admit?,"The whole application is very important, they look at it holistically: your grades, extracurriculars, essays, and not one thing is more important than the other."
"I'm thinking about applying to university. It's not... It's not that university, but they put a lot of attention to the application letter. Did you have it there?",We have an extensive application that includes details about the students and essays.
Should I schedule an interview?,"You apply online, and if they choose you as a candidate they invite you to interview on campus for ""Candidate Weekend"", and they cover all expenses. You get to take sample classes, see the university and meet other candidates!"
Does NYU Abu Dhabi accept the common application?,You apply to NYUAD through this website that's called Common Application which you can use to apply to multiple universities at the same time.
"I am an undergraduate at another university, can I apply to NYU Abu Dhabi?","You can definitely apply, but you would have to start as a freshman."
Which standardized test scores do I need to submit for my application?,You can send official results of any nationally or internationally recognized standardized tests.
Did you think of going to other schools before coming to New York or Abu Dhabi?,NYUAD was my first choice and I didn't even apply to other universities! But that's because I applied very early so I had plenty of time to figure out other universities in case I wasn't admitted.
Was NYU Abu Dhabi your first choice?,NYUAD was my first choice and I didn't even apply to other universities! But that's because I applied very early so I had plenty of time to figure out other universities in case I wasn't admitted.
Are there minimum standardized test scores required for admissions?,"The whole application is very important, they look at it holistically: your grades, extracurriculars, essays, and not one thing is more important than the other."
Are national exams valid to fulfill the testing requirement?,You can send official results of any nationally or internationally recognized standardized tests.
Can I apply online?,You apply to NYUAD through this website that's called Common Application which you can use for other universities at the same time.
Are there any requirements I should know about?,"You apply online, and if they choose you as a candidate they invite you to interview on campus for ""Candidate Weekend"", and they cover all expenses. You get to take sample classes, see the university and meet other candidates!"
Do you accept transfer applicants?,"You can definitely apply, but you would have to start as a freshman."
When is the application deadline,Check on the university's web page!
Will NYU Abu Dhabi consider my International score?,You can send official results of any nationally or internationally recognized standardized tests.
What is most important in the admissions decision?,"The whole application is very important, they look at it holistically: your grades, extracurriculars, essays, and not one thing is more important than the other."
What is Candidate Weekend?,"You apply online, and if they choose you as a candidate they invite you to interview on campus for ""Candidate Weekend"", and they cover all expenses. You get to take sample classes, see the university and meet other candidates!"
"If I get accepted, can I transfer credits from another university?","You can definitely apply, but you would have to start as a freshman."
Did you apply anywhere else from this place?,NYUAD was my first choice and I didn't even apply to other universities! But that's because I applied very early so I had plenty of time to figure out other universities in case I wasn't admitted.
"So you applied in October, right?",Yes.
Does NYU Abu Dhabi take into consideration the difficulty of a particular curriculum or different secondary school grading policies when making admissions decisions?,"The whole application is very important, they look at it holistically: your grades, extracurriculars, essays, and not one thing is more important than the other."
What do candidates get to do during Candidate Weekend?,"You apply online, and if they choose you as a candidate they invite you to interview on campus for ""Candidate Weekend"", and they cover all expenses. You get to take sample classes, see the university and meet other candidates!"
How important are letters of evaluation,"The whole application is very important, they look at it holistically: your grades, extracurriculars, essays, and not one thing is more important than the other."
recommendation?,"The whole application is very important, they look at it holistically: your grades, extracurriculars, essays, and not one thing is more important than the other."
When is Candidate Weekend?,"You apply online, and if they choose you as a candidate they invite you to interview on campus for ""Candidate Weekend"", and they cover all expenses. You get to take sample classes, see the university and meet other candidates!"
What does admissions look for in a student?,"The whole application is very important, they look at it holistically: your grades, extracurriculars, essays, and not one thing is more important than the other."
Where is Candidate Weekend?,"You apply online, and if they choose you as a candidate they invite you to interview on campus for ""Candidate Weekend"", and they cover all expenses. You get to take sample classes, see the university and meet other candidates!"
Did you have a connection to someone from the university so you could give this the essay to them and just ask them to proofread?,"I always wanted to go abroad for my education. My brother happened to know another Moldovan friend who was studying here and told me about the full ride scholarship, that Abu Dhabi is safe, that there are lots of traveling opportunities and the people are great, so it was a no-brainer."
What's the minimum scores that can get me into NYUAD?,"The whole application is very important, they look at it holistically: your grades, extracurriculars, essays, and not one thing is more important than the other."
